Date,Species,Latitude,Longitude,NumMosquitos,WnvPresent,Tavg,Depart,DewPoint,PrecipTotal,SeaLevel,ResultDir,AvgSpeed,r_humidity,Tavg_1week,Tavg_2week,DewPoint_1week,DewPoint_2week,PrecipTotal_1week,PrecipTotal_2week,AvgSpeed_1week,AvgSpeed_2week,r_humidity_1week,r_humidity_2week,Year,Month,Week,Day
2007-05-29,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,1,0,24,10.0,58,0.0,30.11,18,6.5,54.39,20.428571428571427,18.214285714285715,50.57142857142857,45.285714285714285,0.15571428571428572,0.09285714285714285,9.485714285714282,9.85,58.77571428571428,55.23571428571426,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.95469,-87.800991,1,0,24,10.0,58,0.0,30.11,18,6.5,54.39,20.428571428571427,18.214285714285715,50.57142857142857,45.285714285714285,0.15571428571428572,0.09285714285714285,9.485714285714282,9.85,58.77571428571428,55.23571428571426,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.994991,-87.769279,1,0,24,10.0,58,0.0,30.11,18,6.5,54.39,20.428571428571427,18.214285714285715,50.57142857142857,45.285714285714285,0.15571428571428572,0.09285714285714285,9.485714285714282,9.85,58.77571428571428,55.23571428571426,2007,5,22,29
2007-05-29,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,1,0,24,10.0,58,0.0,30.11,18,6.5,54.39,20.428571428571427,18.214285714285715,50.57142857142857,45.285714285714285,0.15571428571428572,0.09285714285714285,9.485714285714282,9.85,58.77571428571428,55.23571428571426,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.974089,-87.824812,4,0,24,10.0,58,0.0,30.11,18,6.5,54.39,20.428571428571427,18.214285714285715,50.57142857142857,45.285714285714285,0.15571428571428572,0.09285714285714285,9.485714285714282,9.85,58.77571428571428,55.23571428571426,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.9216,-87.666455,2,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.891118,-87.65449100000001,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.867108,-87.654224,2,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.896282,-87.655232,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,2,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.921965,-87.632085,3,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX PIPIENS/RESTUANS,41.688324,-87.676709,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.688324,-87.676709,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.862292,-87.64886,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.720848,-87.666014,3,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.731922,-87.677512,5,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX PIPIENS,41.731922,-87.677512,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX PIPIENS/RESTUANS,41.891126,-87.61156,1,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX RESTUANS,41.891126,-87.61156,2,0,25,10.0,59,0.0,30.09,16,7.4,47.38,21.142857142857142,18.785714285714285,51.285714285714285,45.42857142857143,0.06571428571428571,0.045714285714285714,9.171428571428574,9.51428571428571,52.147142857142846,51.54785714285714,2007,5,22,29
2007-05-29,CULEX PIPIENS/RESTUANS,41.999128999999996,-87.795585,1,0,24,10.0,58,0.0,30.11,18,6.5,54.39,20.428571428571427,18.214285714285715,50.57142857142857,45.285714285714285,0.15571428571428572,0.09285714285714285,9.485714285714282,9.85,58.77571428571428,55.23571428571426,2007,5,22,29
